id,date,time,field,away_team_id,home_team_id,week,division,status,away_score,home_score,demo
g-w1-3b-1,2026-08-29,09:00,Town B Gym,t-mineola-3b-red,t-town-b-3b-white,1,3rd Grade Boys,final,13,12,true
g-w1-3g-1,2026-08-29,10:00,Town B Gym,t-mineola-3g-red,t-town-b-3g-white,1,3rd Grade Girls,final,28,27,true
g-w1-4b-1,2026-08-29,11:00,Town B Gym,t-mineola-4b-red,t-town-b-4b-white,1,4th Grade Boys,final,16,15,true
g-w1-4g-1,2026-08-29,12:00,Town B Gym,t-mineola-4g-red,t-town-b-4g-white,1,4th Grade Girls,final,32,26,true
g-w1-56b-1,2026-08-29,13:00,Town B Gym,t-mineola-56b-red,t-town-b-56b-white,1,5th/6th Grade Boys,final,28,33,true
g-w1-56g-1,2026-08-29,14:00,Town B Gym,t-mineola-56g-red,t-town-b-56g-white,1,5th/6th Grade Girls,final,41,22,true
g-w1-3b-2,2026-08-29,09:00,Mineola Community Gym,t-town-b-3b-red,t-mineola-3b-white,1,3rd Grade Boys,final,19,25,true
g-w1-3g-2,2026-08-29,10:00,Mineola Community Gym,t-town-b-3g-red,t-mineola-3g-white,1,3rd Grade Girls,final,17,27,true
g-w1-4b-2,2026-08-29,11:00,Mineola Community Gym,t-town-b-4b-red,t-mineola-4b-white,1,4th Grade Boys,final,30,19,true
g-w1-4g-2,2026-08-29,12:00,Mineola Community Gym,t-town-b-4g-red,t-mineola-4g-white,1,4th Grade Girls,final,29,21,true
g-w1-56b-2,2026-08-29,13:00,Mineola Community Gym,t-town-b-56b-red,t-mineola-56b-white,1,5th/6th Grade Boys,final,43,22,true
g-w1-56g-2,2026-08-29,14:00,Mineola Community Gym,t-town-b-56g-red,t-mineola-56g-white,1,5th/6th Grade Girls,final,43,31,true
g-w1-3b-3,2026-08-29,09:00,Town G Gym,t-town-c-3b-red,t-town-g-3b-blue,1,3rd Grade Boys,final,10,26,true
g-w1-3g-3,2026-08-29,10:00,Town G Gym,t-town-c-3g-red,t-town-g-3g-blue,1,3rd Grade Girls,final,16,25,true
g-w1-4b-3,2026-08-29,11:00,Town G Gym,t-town-c-4b-red,t-town-g-4b-blue,1,4th Grade Boys,final,14,19,true
g-w1-4g-3,2026-08-29,12:00,Town G Gym,t-town-c-4g-red,t-town-g-4g-blue,1,4th Grade Girls,final,29,22,true
g-w1-56b-3,2026-08-29,13:00,Town G Gym,t-town-c-56b-red,t-town-g-56b-blue,1,5th/6th Grade Boys,final,26,20,true
g-w1-56g-3,2026-08-29,14:00,Town G Gym,t-town-c-56g-red,t-town-g-56g-blue,1,5th/6th Grade Girls,final,26,28,true
g-w1-3b-4,2026-08-29,09:00,Town F Gym,t-town-d-3b-red,t-town-f-3b-blue,1,3rd Grade Boys,final,21,18,true
g-w1-3g-4,2026-08-29,10:00,Town F Gym,t-town-d-3g-red,t-town-f-3g-blue,1,3rd Grade Girls,final,27,21,true
g-w1-4b-4,2026-08-29,11:00,Town F Gym,t-town-d-4b-red,t-town-f-4b-blue,1,4th Grade Boys,final,32,15,true
