id,name,abbrev,division,age_group,organization,color,logo_url,gamechanger_url,demo
t-mineola-3b-red,Mineola 3B Red,MIN3BR,Boys,3rd Grade,Mineola,#b91c1c,,,true
t-town-b-3b-red,Town B 3B Red,TWB3BR,Boys,3rd Grade,Town B,#b91c1c,,,true
t-town-c-3b-red,Town C 3B Red,TWC3BR,Boys,3rd Grade,Town C,#b91c1c,,,true
t-town-d-3b-red,Town D 3B Red,TWD3BR,Boys,3rd Grade,Town D,#b91c1c,,,true
t-town-e-3b-red,Town E 3B Red,TWE3BR,Boys,3rd Grade,Town E,#b91c1c,,,true
t-town-f-3b-red,Town F 3B Red,TWF3BR,Boys,3rd Grade,Town F,#b91c1c,,,true
t-town-g-3b-red,Town G 3B Red,TWG3BR,Boys,3rd Grade,Town G,#b91c1c,,,true
t-mineola-3b-blue,Mineola 3B Blue,MIN3BB,Boys,3rd Grade,Mineola,#1d4ed8,,,true
t-town-b-3b-blue,Town B 3B Blue,TWB3BB,Boys,3rd Grade,Town B,#1d4ed8,,,true
t-town-c-3b-blue,Town C 3B Blue,TWC3BB,Boys,3rd Grade,Town C,#1d4ed8,,,true
t-town-d-3b-blue,Town D 3B Blue,TWD3BB,Boys,3rd Grade,Town D,#1d4ed8,,,true
t-town-e-3b-blue,Town E 3B Blue,TWE3BB,Boys,3rd Grade,Town E,#1d4ed8,,,true
t-town-f-3b-blue,Town F 3B Blue,TWF3BB,Boys,3rd Grade,Town F,#1d4ed8,,,true
t-town-g-3b-blue,Town G 3B Blue,TWG3BB,Boys,3rd Grade,Town G,#1d4ed8,,,true
t-mineola-3b-white,Mineola 3B White,MIN3BW,Boys,3rd Grade,Mineola,#6b7280,,,true
t-town-b-3b-white,Town B 3B White,TWB3BW,Boys,3rd Grade,Town B,#6b7280,,,true
t-mineola-3g-red,Mineola 3G Red,MIN3GR,Girls,3rd Grade,Mineola,#b91c1c,,,true
t-town-b-3g-red,Town B 3G Red,TWB3GR,Girls,3rd Grade,Town B,#b91c1c,,,true
t-town-c-3g-red,Town C 3G Red,TWC3GR,Girls,3rd Grade,Town C,#b91c1c,,,true
t-town-d-3g-red,Town D 3G Red,TWD3GR,Girls,3rd Grade,Town D,#b91c1c,,,true
t-town-e-3g-red,Town E 3G Red,TWE3GR,Girls,3rd Grade,Town E,#b91c1c,,,true
t-town-f-3g-red,Town F 3G Red,TWF3GR,Girls,3rd Grade,Town F,#b91c1c,,,true
t-town-g-3g-red,Town G 3G Red,TWG3GR,Girls,3rd Grade,Town G,#b91c1c,,,true
t-mineola-3g-blue,Mineola 3G Blue,MIN3GB,Girls,3rd Grade,Mineola,#1d4ed8,,,true
t-town-b-3g-blue,Town B 3G Blue,TWB3GB,Girls,3rd Grade,Town B,#1d4ed8,,,true
t-town-c-3g-blue,Town C 3G Blue,TWC3GB,Girls,3rd Grade,Town C,#1d4ed8,,,true
t-town-d-3g-blue,Town D 3G Blue,TWD3GB,Girls,3rd Grade,Town D,#1d4ed8,,,true
t-town-e-3g-blue,Town E 3G Blue,TWE3GB,Girls,3rd Grade,Town E,#1d4ed8,,,true
t-town-f-3g-blue,Town F 3G Blue,TWF3GB,Girls,3rd Grade,Town F,#1d4ed8,,,true
t-town-g-3g-blue,Town G 3G Blue,TWG3GB,Girls,3rd Grade,Town G,#1d4ed8,,,true
t-mineola-3g-white,Mineola 3G White,MIN3GW,Girls,3rd Grade,Mineola,#6b7280,,,true
t-town-b-3g-white,Town B 3G White,TWB3GW,Girls,3rd Grade,Town B,#6b7280,,,true
t-mineola-4b-red,Mineola 4B Red,MIN4BR,Boys,4th Grade,Mineola,#b91c1c,,,true
t-town-b-4b-red,Town B 4B Red,TWB4BR,Boys,4th Grade,Town B,#b91c1c,,,true
t-town-c-4b-red,Town C 4B Red,TWC4BR,Boys,4th Grade,Town C,#b91c1c,,,true
t-town-d-4b-red,Town D 4B Red,TWD4BR,Boys,4th Grade,Town D,#b91c1c,,,true
t-town-e-4b-red,Town E 4B Red,TWE4BR,Boys,4th Grade,Town E,#b91c1c,,,true
t-town-f-4b-red,Town F 4B Red,TWF4BR,Boys,4th Grade,Town F,#b91c1c,,,true
t-town-g-4b-red,Town G 4B Red,TWG4BR,Boys,4th Grade,Town G,#b91c1c,,,true
t-mineola-4b-blue,Mineola 4B Blue,MIN4BB,Boys,4th Grade,Mineola,#1d4ed8,,,true
t-town-b-4b-blue,Town B 4B Blue,TWB4BB,Boys,4th Grade,Town B,#1d4ed8,,,true
t-town-c-4b-blue,Town C 4B Blue,TWC4BB,Boys,4th Grade,Town C,#1d4ed8,,,true
