id,name,abbrev,division,color,logo_url,w,l,t,sponsor
hitmen,Hitmen,Hitmen,Men's Division I,#124734,/helena/teams/hitmen.png,4,5,0,Sleeping Giant Lanes
pappasmn,Pappas Insulation,PappasMn,Men's Division I,#b4622d,/helena/teams/pappasmn.png,4,5,0,
smokbnt,Smoking Bunts,SmokBnt,Men's Division I,#1d3f6e,/helena/teams/smokbnt.png,6,3,0,MT Kush
topgun,Top Gun Auto,TopGun,Men's Division I,#7a2233,/helena/teams/topgun.png,4,5,0,Buffalo WW
abbooks,Aunt Bonnie's Books,ABBooks,Men's Division E,#124734,/helena/teams/abbooks.png,3,6,0,Quenzer Construction
bashbros,Bash Bros,BashBros,Men's Division E,#b4622d,/helena/teams/bashbros.png,7,6,0,Buffalo WW
clbrew,Coors Light,CLBrew,Men's Division E,#1d3f6e,/helena/teams/clbrew.png,7,5,0,City Brew
cloud9,Apogee Gardens,Cloud9,Men's Division E,#7a2233,/helena/teams/cloud9.png,6,5,0,
kaos,Blastpros Mobile Sadbusting,KAOS,Men's Division E,#4a5d23,/helena/teams/kaos.png,9,1,0,
regulatr,Regulators,Regulatr,Men's Division E,#6b3fa0,/helena/teams/regulatr.png,6,6,0,Chris Halverson
uppies,Big Belt Automotive,Uppies,Men's Division E,#8a6d1f,/helena/teams/uppies.png,5,8,0,
yankdeez,Yankdeez,Yankdeez,Men's Division E,#155e63,/helena/teams/yankdeez.png,3,9,0,
brdgbomb,Bridge Bombers,BrdgBomb,Men's Recreational,#124734,/helena/teams/brdgbomb.png,2,10,0,Exit Realty Helena
buntforce,Bunt Force Trauma,BuntForce,Men's Recreational,#b4622d,/helena/teams/buntforce.png,10,2,0,Rocky Mountain Refrigeration / Gaining Ground
coke,Lehrkinds Coca-Cola,Coke,Men's Recreational,#1d3f6e,/helena/teams/coke.png,7,5,0,Coors
echochm,Echo Church,EchoChM,Men's Recreational,#7a2233,/helena/teams/echochm.png,9,3,0,
