id,date,time,field,away_team_id,home_team_id,week,division,status,away_score,home_score,arbiter_game_number
arb-201,2026-04-13,18:00,A. Herr Park,14u-section-1-ls-blue,14u-section-1-hempfield-black,,14u Section 1,final,1,11,201
arb-623,2026-04-13,18:00,Community #3,14u-section-3-e-town-navy,14u-section-3-lanc-rec-tornados,,14u Section 3,final,10,2,623
arb-372,2026-04-13,18:00,Fuhrman Park #2,14u-section-2-cedar-crest,14u-section-2-donegal-green,,14u Section 2,final,2,12,372
arb-331,2026-04-13,18:00,Greider Park Field C,14u-section-2-solanco-black,14u-section-2-pm-blue,,14u Section 2,final,3,13,331
arb-734,2026-04-13,18:00,Herr Flowers #2,12u-section-1-hempfield-red,12u-section-1-ls-atta-boys,,12u Section 1,final,7,2,734
arb-202,2026-04-13,18:00,Highville FC,14u-section-1-mountville-angels,14u-section-1-pm-comets,,14u Section 1,final,0,10,202
arb-645,2026-04-13,18:00,Manor MS,12u-section-1-octorara-braves,12u-section-1-pm-comets,,12u Section 1,final,8,8,645
arb-644,2026-04-13,18:00,Minor Field,12u-section-1-cedar-crest,12u-section-1-e-town-blue,,12u Section 1,final,8,6,644
arb-1226,2026-04-13,18:00,Municipal Field,10u-section-1-manheim,10u-section-1-mt-streaks,,10u Section 1,final,10,7,1226
arb-1227,2026-04-13,18:00,New Holland Legion,10u-section-1-warwick-cardinals,10u-section-1-garden-spot,,10u Section 1,final,22,0,1227
arb-624,2026-04-13,18:00,Paradise Park #1,14u-section-3-solanco-black,14u-section-3-pv-braves,,14u Section 3,final,12,8,624
arb-643,2026-04-13,18:00,Reamstown Park,12u-section-1-warwick-phillies,12u-section-1-cocalico-eagles,,12u Section 1,final,1,14,643
arb-733,2026-04-13,18:00,SYBA Field Complex #2,12u-section-1-cv-bucks,12u-section-1-solanco-black,,12u Section 1,final,16,10,733
arb-523,2026-04-13,18:00,Trolly Line Park,14u-section-3-cocalico-eagles,14u-section-3-e-town-white,,14u Section 3,final,5,13,523
arb-207,2026-04-13,18:00,Warwick Twp #1,14u-section-1-cedar-crest,14u-section-1-lititz-vfw,,14u Section 1,final,5,11,207
arb-1225,2026-04-13,18:00,Wenger Field,10u-section-1-donegal-indians,10u-section-1-e-town-bruins,,10u Section 1,final,12,8,1225
arb-1043,2026-04-14,18:00,Charlestown Upper,12u-section-3-cedar-crest,12u-section-3-pm-blue,,12u Section 3,final,6,8,1043
arb-1430,2026-04-14,18:00,Community #2,10u-section-2-pm-blue,10u-section-2-lanc-jr-tornados,,10u Section 2,scheduled,0,,1430
arb-647,2026-04-14,18:00,Creek Field,12u-section-1-donegal-indians,12u-section-1-manheim,,12u Section 1,final,1,5,647
arb-1429,2026-04-14,18:00,Farmdale Elementary,10u-section-2-pv-braves,10u-section-2-hempfield-red,,10u Section 2,final,10,0,1429
arb-1150,2026-04-14,18:00,Flory Park #1,12u-section-3-solanco-gold,12u-section-3-cv-bucks-red,,12u Section 3,final,0,0,1150
arb-1148,2026-04-14,18:00,Fuhrman Park #1,12u-section-3-hempfield-black,12u-section-3-donegal-black,,12u Section 3,final,13,24,1148
arb-648,2026-04-14,18:00,Hempfield Fire Dept.,12u-section-1-ephrata-drillerz,12u-section-1-hempfield-black,,12u Section 1,final,4,4,648
