id,name,abbrev,division,age_group,color,logo_url,w,l,t
10u-section-1-warwick-cardinals,Warwick Cardinals,,10u Section 1,10U,,/lcybl/teams/10u-section-1-warwick-cardinals.png,14,2,0
10u-section-1-manheim,Manheim,,10u Section 1,10U,,/lcybl/teams/10u-section-1-manheim.png,14,2,0
10u-section-1-ls-slingers,LS Slingers,,10u Section 1,10U,,/lcybl/teams/10u-section-1-ls-slingers.png,13,3,0
10u-section-1-hempfield-black,Hempfield Black,,10u Section 1,10U,,/lcybl/teams/10u-section-1-hempfield-black.png,12,4,0
10u-section-1-pm-comets,PM Comets,,10u Section 1,10U,,/lcybl/teams/10u-section-1-pm-comets.png,11,5,0
10u-section-1-ephrata-drillerz,Ephrata Drillerz,,10u Section 1,10U,,/lcybl/teams/10u-section-1-ephrata-drillerz.png,10,6,0
10u-section-1-e-town-bruins,E-Town Bruins,,10u Section 1,10U,,/lcybl/teams/10u-section-1-e-town-bruins.png,9,7,0
10u-section-1-mt-streaks,MT Streaks,,10u Section 1,10U,,/lcybl/teams/10u-section-1-mt-streaks.png,9,7,0
10u-section-1-donegal-indians,Donegal Indians,,10u Section 1,10U,,/lcybl/teams/10u-section-1-donegal-indians.png,9,7,0
10u-section-1-hempfield-red,Hempfield Red,,10u Section 1,10U,,/lcybl/teams/10u-section-1-hempfield-red.png,6,10,0
10u-section-1-solanco-black,SOLANCO Black,,10u Section 1,10U,,/lcybl/teams/10u-section-1-solanco-black.png,4,12,0
10u-section-1-cedar-crest,Cedar Crest,,10u Section 1,10U,,/lcybl/teams/10u-section-1-cedar-crest.png,3,13,0
10u-section-1-cocalico-eagles,Cocalico Eagles,,10u Section 1,10U,,/lcybl/teams/10u-section-1-cocalico-eagles.png,3,13,0
10u-section-1-cv-bucks,CV Bucks,,10u Section 1,10U,,/lcybl/teams/10u-section-1-cv-bucks.png,2,14,0
10u-section-1-garden-spot,Garden Spot,,10u Section 1,10U,,/lcybl/teams/10u-section-1-garden-spot.png,1,15,0
10u-section-2-ls-regulators,LS Regulators,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-ls-regulators.png,14,0,0
10u-section-2-ephrata-athletics,Ephrata Athletics,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-ephrata-athletics.png,12,2,0
10u-section-2-pm-blue,PM Blue,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-pm-blue.png,12,2,0
10u-section-2-hempfield-black,Hempfield Black,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-hempfield-black.png,10,4,0
10u-section-2-pm-white,PM White,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-pm-white.png,9,4,1
10u-section-2-manheim-maroon,Manheim Maroon,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-manheim-maroon.png,9,5,0
10u-section-2-mt-lightning,MT Lightning,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-mt-lightning.png,9,5,0
10u-section-2-donegal-green,Donegal Green,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-donegal-green.png,6,8,0
10u-section-2-cocalico-eagles,Cocalico Eagles,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-cocalico-eagles.png,4,9,1
10u-section-2-warwick-rangers,Warwick Rangers,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-warwick-rangers.png,4,10,0
10u-section-2-hempfield-white,Hempfield White,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-hempfield-white.png,4,10,0
10u-section-2-cedar-crest,Cedar Crest,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-cedar-crest.png,2,11,0
10u-section-2-columbia-red,Columbia Red,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-columbia-red.png,2,12,0
10u-section-2-garden-spot-blue,Garden Spot Blue,,10u Section 2 Orange,10U,,/lcybl/teams/10u-section-2-garden-spot-blue.png,0,13,0
10u-section-2-pv-braves,PV Braves,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-pv-braves.png,13,1,0
10u-section-2-mt-thunder,Mt Thunder,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-mt-thunder.png,13,1,0
10u-section-2-ls-blue-crew,LS Blue Crew,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-ls-blue-crew.png,12,2,0
10u-section-2-mountville-pirates,Mountville Pirates,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-mountville-pirates.png,10,4,0
10u-section-2-lanc-jr-tornados,Lanc Jr Tornados,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-lanc-jr-tornados.png,9,5,0
10u-section-2-warwick-diamondbacks,Warwick Diamondbacks,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-warwick-diamondbacks.png,8,5,1
10u-section-2-manheim-gray,Manheim Gray,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-manheim-gray.png,8,6,0
10u-section-2-st-leo-crusaders,St. Leo Crusaders,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-st-leo-crusaders.png,7,7,0
10u-section-2-pm-gold,PM Gold,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-pm-gold.png,5,7,1
10u-section-2-cv-bucks,CV Bucks,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-cv-bucks.png,4,10,0
10u-section-2-hempfield-gray,Hempfield Gray,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-hempfield-gray.png,2,11,0
10u-section-2-solanco-black,SOLANCO Black,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-solanco-black.png,2,11,0
10u-section-2-hempfield-red,Hempfield Red,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-hempfield-red.png,1,12,0
10u-section-2-garden-spot-white,Garden Spot White,,10u Section 2 Blue,10U,,/lcybl/teams/10u-section-2-garden-spot-white.png,0,14,0
10u-section-3-pv-braves,PV Braves,,10u Section 3,10U,,/lcybl/teams/10u-section-3-pv-braves.png,9,2,1
10u-section-3-donegal-white,Donegal White,,10u Section 3,10U,,/lcybl/teams/10u-section-3-donegal-white.png,9,2,0
10u-section-3-mountville-giants,Mountville Giants,,10u Section 3,10U,,/lcybl/teams/10u-section-3-mountville-giants.png,8,2,1
10u-section-3-donegal-black,Donegal Black,,10u Section 3,10U,,/lcybl/teams/10u-section-3-donegal-black.png,7,3,2
10u-section-3-solanco-black,SOLANCO Black,,10u Section 3,10U,,/lcybl/teams/10u-section-3-solanco-black.png,7,4,1
10u-section-3-solanco-gold,SOLANCO Gold,,10u Section 3,10U,,/lcybl/teams/10u-section-3-solanco-gold.png,6,5,1
10u-section-3-ls-blazers,LS Blazers,,10u Section 3,10U,,/lcybl/teams/10u-section-3-ls-blazers.png,6,6,0
10u-section-3-pm-white,PM White,,10u Section 3,10U,,/lcybl/teams/10u-section-3-pm-white.png,5,5,1
10u-section-3-st-leo-crusaders,St. Leo Crusaders,,10u Section 3,10U,,/lcybl/teams/10u-section-3-st-leo-crusaders.png,5,6,1
10u-section-3-ls-hit-squad,LS Hit Squad,,10u Section 3,10U,,/lcybl/teams/10u-section-3-ls-hit-squad.png,4,7,1
10u-section-3-ls-hammers,LS Hammers,,10u Section 3,10U,,/lcybl/teams/10u-section-3-ls-hammers.png,3,6,3
10u-section-3-pm-blue,PM Blue,,10u Section 3,10U,,/lcybl/teams/10u-section-3-pm-blue.png,0,9,1
10u-section-3-manheim,Manheim,,10u Section 3,10U,,/lcybl/teams/10u-section-3-manheim.png,0,10,1
10u-section-3-lanc-rec-tornadoes,Lanc Rec Tornadoes,,10u Section 3,10U,,/lcybl/teams/10u-section-3-lanc-rec-tornadoes.png,0,12,0
10u-section-3-solanco-white,SOLANCO White,,10u Section 3,10U,,/lcybl/teams/10u-section-3-solanco-white.png,0,12,0
10u-section-3-ceder-crest,Ceder Crest,,10u Section 3,10U,,/lcybl/teams/10u-section-3-ceder-crest.png,0,12,0
12u-section-1-hempfield-black,Hempfield Black,,12u Section 1 American,12U,,/lcybl/teams/12u-section-1-hempfield-black.png,15,2,1
12u-section-1-manheim,Manheim,,12u Section 1 American,12U,,/lcybl/teams/12u-section-1-manheim.png,13,5,0
12u-section-1-ephrata-drillerz,Ephrata Drillerz,,12u Section 1 American,12U,,/lcybl/teams/12u-section-1-ephrata-drillerz.png,11,6,1
