id,name,abbrev,division,color,logo_url
miami-cardinals,Miami Cardinals,MC,35+ American,#c41e3a,
miami-amigos,Miami Amigos,MA,35+ American,#00a3e0,
sf-astros,South Florida Astros,SFA2,35+ American,#002d62,
miami-yankees,Miami Yankees,MY,35+ American,#0c2340,
sf-dodgers,South Florida Dodgers,SFD,35+ American,#005a9c,
matanzas,Matanzas,MAT,35+ American,#8b0000,
miami-charros,Miami Charros,MCH,35+ American,#2e4a2e,
dade-nationals,Dade Nationals,DN,35+ American,#ab0003,
delray-devil-rays,Delray Devil Rays,DDR,35+ National,#092c5c,
southern-yankees,Southern Yankees,SY,35+ National,#0c2340,
sf-travelers,South Florida Travelers,SFT,35+ National,#333333,
boca-mets,Boca Mets,BM,35+ National,#002d72,
kooper-city-royals,Kooper City Royals,KCR,35+ National,#004687,
sf-angels,South Florida Angels,SFA,35+ National,#ba0021,
aventura-braves,Aventura Braves,AB,28+,#ce1141,
aventura-dodgers,Aventura Dodgers,AD,28+,#005a9c,
broward-senators,Broward Senators,BS,28+,#14225a,
miami-brewers,Miami Brewers,MB,28+,#12284b,
miami-jc,Miami JC,MJC,28+,#0e3386,
palm-beach-pirates,Palm Beach Pirates,PBP,28+,#27251f,
sunrise-giants,Sunrise Giants,SG,28+,#fd5a1e,
broward-yankees,Broward Yankees,BY,18+,#0c2340,
margate-marlins,Margate Marlins,MM,18+,#00a3e0,
miami-buccaneers,Miami Buccaneers,MBU,18+,#d50a0a,
miami-orioles,Miami Orioles,MO,18+,#df4601,
miami-red-sox,Miami Red Sox,MRS,18+,#bd3039,
sf-rays,South Florida Rays,SFR,18+,#092c5c,
wpb-cardinals,West Palm Beach Cardinals,WPB,18+,#c41e3a,
