id,date,time,field,away_team_id,home_team_id,week,division,status,away_score,home_score
g-0001,2027-06-01,17:45,"Ihde Field 810 Morgan St. Clyman, WI 53016",marshall-peterson,clyman-niemuth,1,U12,scheduled,,
g-0002,2027-06-01,19:15,"Ihde Field 810 Morgan St. Clyman, WI 53016",marshall-peterson,clyman-niemuth,1,U12,scheduled,,
g-0003,2027-06-01,17:45,"Jaycee Park 275 N. Perry Parkway Oregon, WI 53575",verona-wildcats-beringer,oregon-orange-madden,1,U12,scheduled,,
g-0004,2027-06-01,19:15,"Jaycee Park 275 N. Perry Parkway Oregon, WI 53575",verona-wildcats-beringer,oregon-orange-madden,1,U12,scheduled,,
g-0005,2027-06-01,17:45,"South Goodrich Park 700 E High Street Milton, WI 53563",bdybs-gold-devitt,milton-wildcats-popp,1,U12,scheduled,,
g-0006,2027-06-01,19:15,"South Goodrich Park 700 E High Street Milton, WI 53563",bdybs-gold-devitt,milton-wildcats-popp,1,U12,scheduled,,
g-0007,2027-06-01,17:45,"100 S Wuthering Hills Dr Janesville, WI 53546",columbus-firebirds-11u-wiemer,janesville-cyclones-klemencic,1,U12,scheduled,,
g-0008,2027-06-01,19:15,"100 S Wuthering Hills Dr Janesville, WI 53546",columbus-firebirds-11u-wiemer,janesville-cyclones-klemencic,1,U12,scheduled,,
g-0009,2027-06-01,17:45,"Racetrack Park, 900 Stoughton Rd, Edgerton, WI 53534",deerfield-brobston,edgerton-black-ames,1,U12,scheduled,,
g-0010,2027-06-01,19:15,"Racetrack Park, 900 Stoughton Rd, Edgerton, WI 53534",deerfield-brobston,edgerton-black-ames,1,U12,scheduled,,
g-0011,2027-06-01,17:45,"Field of Dreams 710 Lone Pine Way, Verona, WI 53593",waunakee-purple-endres,verona-wildcats-borelli,1,U12,scheduled,,
g-0012,2027-06-01,19:15,"Field of Dreams 710 Lone Pine Way, Verona, WI 53593",waunakee-purple-endres,verona-wildcats-borelli,1,U12,scheduled,,
g-0013,2027-06-01,17:45,"Northlawn Park 900 N Parkview St. Cottage Grove, WI 53527",siren-softball-ashwill,sp-savage-hansbro,1,U12,scheduled,,
g-0014,2027-06-01,19:15,"Northlawn Park 900 N Parkview St. Cottage Grove, WI 53527",siren-softball-ashwill,sp-savage-hansbro,1,U12,scheduled,,
g-0015,2027-06-01,17:45,"Rotary Park 191 Sandy Beach Rd, Lake Mills, WI 53551",lm-rec-blm-tellefson,lm-rec-blm-boettcher-2,1,U12,scheduled,,
g-0016,2027-06-01,19:15,"Rotary Park 191 Sandy Beach Rd, Lake Mills, WI 53551",lm-rec-blm-tellefson,lm-rec-blm-boettcher-2,1,U12,scheduled,,
g-0017,2027-06-01,17:45,"Riverfront Park 588-729 Wisconsin Drive, Jefferson",waterloo-skalitzky,jefferson-gold-smith,1,U12,scheduled,,
g-0018,2027-06-01,19:15,"Riverfront Park 588-729 Wisconsin Drive, Jefferson",waterloo-skalitzky,jefferson-gold-smith,1,U12,scheduled,,
g-0019,2027-06-01,17:45,Fort Atkinson High School 925 Lexington Blvd,lakeside-dremler,fort-jbs-telfer,1,U12,scheduled,,
g-0020,2027-06-01,19:15,Fort Atkinson High School 925 Lexington Blvd,lakeside-dremler,fort-jbs-telfer,1,U12,scheduled,,
g-0021,2027-06-01,17:45,"Meister Park 337 Middleton St, Columbus, WI 53925",milton-wildcats-palan,columbus-firebirds-rentmeester,1,U12,scheduled,,
g-0022,2027-06-01,19:15,"Meister Park 337 Middleton St, Columbus, WI 53925",milton-wildcats-palan,columbus-firebirds-rentmeester,1,U12,scheduled,,
g-0023,2027-06-01,17:45,"Northlawn Park 900 N Parkview St. Cottage Grove, WI 53527",edgerton-red-knoeck,cottage-grove-mordini,1,U12,scheduled,,
g-0024,2027-06-01,19:15,"Northlawn Park 900 N Parkview St. Cottage Grove, WI 53527",edgerton-red-knoeck,cottage-grove-mordini,1,U12,scheduled,,
g-0025,2027-06-01,17:45,Brandt Quirk,johnson-creek-bluejays-toebe,watertown-thunder-blue-johnson,1,U12,scheduled,,
g-0026,2027-06-01,19:15,Brandt Quirk,johnson-creek-bluejays-toebe,watertown-thunder-blue-johnson,1,U12,scheduled,,
g-0027,2027-06-01,17:45,"Field of Dreams 710 Lone Pine Way, Verona, WI 53593",east-madison-muir,verona-hand,1,U12,scheduled,,
g-0028,2027-06-01,19:15,"Field of Dreams 710 Lone Pine Way, Verona, WI 53593",east-madison-muir,verona-hand,1,U12,scheduled,,
g-0029,2027-06-01,17:45,"Cambridge High School, 403 Blue Jay Way",fort-jbs-grady,cambridge-rehr,1,U12,scheduled,,
