id,name,abbrev,division,level,color,logo_url
bd-tornados-meyers,BD Tornados - Meyers,Meyers,U14,D2,#0e3d34,/windmill/teams/bd-tornados-meyers.png
wisconsin-outlawz-damon,Wisconsin Outlawz - Damon,Damon,U8 Live,D3,#0e3d34,/windmill/teams/wisconsin-outlawz-damon.png
clyman-niemuth,Clyman - Niemuth,Niemuth,U12,D2,#0e3d34,/windmill/teams/clyman-niemuth.png
clyman-quest,Clyman - Quest,Quest,U10,D3,#0e3d34,/windmill/teams/clyman-quest.png
clyman-mcfarland,Clyman - McFarland,McFarland,U8 Live,D4,#1b7d6c,/windmill/teams/clyman-mcfarland.png
clyman-schuett,Clyman - Schuett,Schuett,U8 Mach,D3,#0e3d34,/windmill/teams/clyman-schuett.png
lakeside-dremler,Lakeside - Dremler,Dremler,U12,D3,#1b7d6c,/windmill/teams/lakeside-dremler.png
oregon-orange-madden,Oregon Orange - Madden,Madden,U12,D2,#c58a1a,/windmill/teams/oregon-orange-madden.png
watertown-thunder-blue-johnson,Watertown Thunder Blue - Johnson,Johnson,U12,D1,#14564a,/windmill/teams/watertown-thunder-blue-johnson.png
oregon-black-sweeny,Oregon Black - Sweeny,Sweeny,U10,D4,#1b7d6c,/windmill/teams/oregon-black-sweeny.png
east-madison-muir,East Madison - Muir,Muir,U12,D4,#9c6a10,/windmill/teams/east-madison-muir.png
wisconsin-outlawz-travis,Wisconsin Outlawz - Travis,Travis,U10 USA,D1,#0e3d34,/windmill/teams/wisconsin-outlawz-travis.png
jc-yellow-jackets-tonies,JC Yellow Jackets - Tonies,Tonies,U8 Live,D1,#c58a1a,/windmill/teams/jc-yellow-jackets-tonies.png
oregon-orange-hegg,Oregon Orange - Hegg,Hegg,U10,D3,#c58a1a,/windmill/teams/oregon-orange-hegg.png
bd-tornados-gold-schaalma,BD Tornados Gold - Schaalma,Schaalma,U10,D3,#14564a,/windmill/teams/bd-tornados-gold-schaalma.png
east-madison-mueller,East Madison - Mueller,Mueller,U14,D4,#1b7d6c,/windmill/teams/east-madison-mueller.png
east-madison-kratz,East Madison - Kratz,Kratz,U10,D4,#9c6a10,/windmill/teams/east-madison-kratz.png
jefferson-lipshetz,Jefferson - Lipshetz,Lipshetz,U14,D3,#c58a1a,/windmill/teams/jefferson-lipshetz.png
